"","logFC","AveExpr","t","P.Value","adj.P.Val"
"ENSG00000154102",1.4973387103232,3.16689995582043,3.99828691773475,0.000315697509036987,0.0975584227301549
"ENSG00000100055",2.9805148980722,1.51323259266794,3.9850664709254,0.000325953141481769,0.0982708971184425
"ENSG00000163624",1.69692109550551,3.12512329396454,3.87302961848592,0.000426832651575416,0.125620914431517
"ENSG00000073756",1.90422270438625,3.4769866151788,3.86322256214946,0.000437019320366324,0.125627809745305
"ENSG00000135636",2.39070745385177,3.22465250584426,3.81896085498031,0.000486077000559114,0.136554495543437
"ENSG00000131746",1.69286700040798,1.48760097159607,3.69962779075923,0.000647156086790172,0.177766586418074
"ENSG00000131242",2.49805222559869,1.70606174931706,3.65105709980412,0.0007269170834442,0.19533526235769
"ENSG00000125731",2.12714674821671,3.01850901260189,3.52229758653308,0.000988181732455475,0.25989179563579
"ENSG00000185585",-1.24582226177828,4.43993608388703,-3.46780725270317,0.0011247522558557,0.286278658506633
"ENSG00000235750",1.77697424899204,2.18289266554639,3.45819070068957,0.00115070496262756,0.286278658506633
"ENSG00000261534",1.16973807444787,4.82030107439528,3.45472694103044,0.00116019574383526,0.286278658506633
"ENSG00000196154",-1.51705728976329,2.18423468181447,-3.44717625945654,0.001181151329491,0.286278658506633
"ENSG00000240694",-2.37166265157445,2.55589199467494,-3.2839371140941,0.00173629533075039,0.41273743429626
"ENSG00000125148",1.24571164073556,9.37265070034678,3.27517051302188,0.00177237796810892,0.413365359694234
"ENSG00000237548",1.61265423362675,1.1885270943011,3.19330285350366,0.00214684888116028,0.491429611481894
"ENSG00000147852",1.94174282483963,2.96229741970515,3.0924150776857,0.00271472948007524,0.610123110967454
"ENSG00000177409",-2.04383539338106,2.59843122696705,-3.0207605662768,0.00320354206782351,0.707124705363685
"ENSG00000155893",-1.80699243081046,3.06308627431436,-2.96905073506663,0.00360782864037834,0.78239245304766
"ENSG00000187210",2.4296046254902,3.60875119305071,2.94333415388976,0.00382697198179959,0.815606908052151
"ENSG00000130635",-1.55611694897424,5.82289699109672,-2.75943830960616,0.00580574072177717,1
"ENSG00000073150",1.64797701558793,1.51470146847462,2.73039871936358,0.00619609655086294,1
