"","logFC","AveExpr","t","P.Value","adj.P.Val"
"ENSG00000126368",-2.14174821649593,5.47840419836152,-12.5300185110847,1.23729909762733e-11,2.15412030222133e-09
"ENSG00000127824",1.83917213058231,6.24988743095165,12.4654252070323,1.36465179373289e-11,2.34284178087948e-09
"ENSG00000085840",2.22173652302883,3.85839551568989,12.3884442564353,1.53444258298119e-11,2.59825270797677e-09
"ENSG00000179958",2.16811101523139,5.12332164000885,12.1926369140537,2.07296703729666e-11,3.45819052500934e-09
"ENSG00000162645",-2.58919762839375,3.9426992250579,-12.1762537709978,2.1261577422693e-11,3.45819052500934e-09
"ENSG00000213412",3.69652385666079,0.859187370706223,12.1762447181795,2.12622344390187e-11,3.45819052500934e-09
"ENSG00000165507",-2.50085692438197,1.82768631001014,-11.8413414051855,3.58935839303766e-11,5.76208559692707e-09
"ENSG00000150593",-1.80357467728136,6.44776035938812,-11.8326357229532,3.63908735157898e-11,5.76702035293176e-09
"ENSG00000115414",-1.93180226616059,9.99768492359412,-11.6986919364071,4.50141293900594e-11,7.04328675177878e-09
"ENSG00000100311",2.47033124305662,2.55077493415076,11.6687934222096,4.72140880654212e-11,7.27938094570173e-09
"ENSG00000105835",-1.71404471294063,9.71203885537348,-11.6623742603743,4.77008216650627e-11,7.27938094570173e-09
"ENSG00000148344",-1.5546620037608,4.61075966890836,-11.6022687216912,5.25196116665196e-11,7.91701121719328e-09
"ENSG00000162063",1.7926188983966,5.27471218645105,11.5615154649301,5.60726676736307e-11,8.35077403751505e-09
"ENSG00000155090",-1.36967407102366,7.2599806187099,-11.5452641221157,5.75584191071149e-11,8.46999545932198e-09
"ENSG00000101311",2.11655772949711,5.89773861986395,11.4837385055949,6.35644589213665e-11,9.14715916897856e-09
"ENSG00000128165",-3.61114049616333,3.01862634263315,-11.4830112016981,6.36401333655979e-11,9.14715916897856e-09
"ENSG00000104738",1.66021368091038,6.88811274132707,11.375427907102,7.57724153304092e-11,1.07657796080366e-08
"ENSG00000101255",-2.01031123815769,7.51629535311317,-11.3074159025251,8.46626785177248e-11,1.18921376745055e-08
"ENSG00000178726",-1.67938331727904,5.99783132317261,-11.3005096011273,8.56241609118182e-11,1.18921376745055e-08
"ENSG00000283633",2.01466266135068,2.2325611666753,11.23384014569,9.55107058096427e-11,1.31178648279222e-08
"ENSG00000138166",-1.55059917331411,7.34095471532514,-11.1889868109062,1.02823832344551e-10,1.39670922155054e-08
"ENSG00000072274",1.58000557124621,9.22123211465936,11.0237424511289,1.35189532743835e-10,1.81638892852886e-08
"ENSG00000260920",-2.26512891370927,2.57453285481738,-10.975700938567,1.46465532761586e-10,1.9467316671677e-08
