"","logFC","AveExpr","t","P.Value","adj.P.Val"
"ENSG00000096696",1.79499067562182,6.64998268489657,11.3565141442107,7.81427801256141e-11,3.71508809666429e-08
"ENSG00000112812",2.80490799345015,1.77702916348877,11.2041470668096,1.0028907037052e-10,4.59138221796296e-08
"ENSG00000184363",2.06455891890093,5.7269642751404,11.060125266116,1.27252442460861e-10,5.61774086163824e-08
"ENSG00000185585",-2.1505553735064,4.43993608388703,-10.6675708823984,2.4631623795868e-10,1.04990173014043e-07
"ENSG00000273760",2.89363473599821,2.20076704065446,10.4557145037205,3.54303662547470e-10,1.45984919091642e-07
"ENSG00000161921",3.66188506550637,1.90377083416407,10.2535120967936,5.03662609909922e-10,2.0083140390634e-07
"ENSG00000138271",4.43482462929981,2.18449677774869,9.88547663398872,9.67260773105336e-10,3.73634700511096e-07
"ENSG00000163624",3.62110063707845,3.12512329396454,9.74932475705621,1.23613416373523e-09,4.630258908464e-07
"ENSG00000112559",5.09194764778677,2.72509073526819,9.62012243969923,1.56446592152565e-09,5.55378961902539e-07
"ENSG00000046604",1.23219948642863,8.68041217288112,9.61697075819953,1.5725478251427e-09,5.55378961902539e-07
"ENSG00000101311",1.94226984776822,5.89773861986395,9.44408483634514,2.1605681345653e-09,7.41855075315601e-07
"ENSG00000213214",1.9442519663618,3.54798977998764,9.27396168168467,2.96411255046939e-09,9.90253925306814e-07
"ENSG00000197594",-1.62910727869971,4.47212676995513,-9.19344019852909,3.44699692028787e-09,1.12114781035162e-06
"ENSG00000124225",2.00179805070857,5.50180702127347,9.17968433702376,3.53731612359138e-09,1.12114781035162e-06
"ENSG00000196154",-1.95808265588543,2.18423468181447,-9.09621275410059,4.1405585590449e-09,1.27953610870885e-06
"ENSG00000104413",4.52341438791644,2.00165556179205,9.01797163761853,4.80415792576718e-09,1.41302405851898e-06
"ENSG00000180921",2.29535234809466,3.96226127758084,9.01371988079052,4.84193620073363e-09,1.41302405851898e-06
"ENSG00000184254",1.85312078428144,2.66007642358994,9.00579888121998,4.91546270660271e-09,1.41302405851898e-06
"ENSG00000070404",1.72443307786846,6.02212886500346,8.7013643358288,8.82626166241871e-09,2.47957773657177e-06
"ENSG00000074410",-2.6295787265189,6.19682553897407,-8.60909853501153,1.05645168728694e-08,2.9019554014564e-06
"ENSG00000187908",-2.20565385884221,1.67801884971697,-8.43481009884621,1.48814625175379e-08,3.99890778650622e-06
"ENSG00000164695",1.60132940164528,4.4164133214824,8.09688819548433,2.92480804916345e-08,7.69224516929987e-06
"ENSG00000139132",3.63483726338252,4.13975638052014,8.08411217961832,3.00149041212269e-08,7.72946312171846e-06
"ENSG00000134755",1.64472323329929,2.26855124707264,8.07376237571291,3.06493022140832e-08,7.73175560547514e-06
"ENSG00000197279",3.01023770164736,1.36112839746659,8.00710922945057,3.50889832373834e-08,8.67469843594592e-06
"ENSG00000117472",2.28551043417284,2.31901912907569,7.76197266097975,5.80035840574746e-08,1.40584765202832e-05
"ENSG00000164181",1.72155460964378,5.10630984376955,7.60906311938218,7.9686899861606e-08,1.89424955613329e-05
"ENSG00000143816",2.25924783670294,1.16693012699352,7.50553580422652,9.89799813206021e-08,2.30847462095087e-05
"ENSG00000148344",-1.35479181060612,4.61075966890836,-7.37665968158429,1.29907816132586e-07,2.97368613928685e-05
"ENSG00000276850",2.13676603287055,3.70499814596912,7.27784999803308,1.60260948437004e-07,3.60179197023601e-05
"ENSG00000120129",1.21875985294871,7.63118831936652,7.12982442128241,2.20039631777215e-07,4.85698194356812e-05
"ENSG00000100311",1.93468953550144,2.55077493415076,7.09357244001985,2.37908815546115e-07,5.15928222625531e-05
"ENSG00000092964",-1.37361184848085,6.96290941452227,-7.03226637559971,2.71598625984334e-07,5.78832864791784e-05
"ENSG00000127824",1.47578933588376,6.24988743095165,6.78008634426408,4.70740667941557e-07,9.86241592614506e-05
"ENSG00000226887",3.23203450261417,3.61100672649188,6.76220968483213,4.89618459204809e-07,0.000100869562903844
"ENSG00000110723",1.94981312264513,3.47588155983572,6.72709461595176,5.28970666139661e-07,0.00010719026892053
"ENSG00000165929",2.29163503798471,1.27283753368838,6.66659500454459,6.04574986567427e-07,0.000120534700144516
"ENSG00000184371",-1.47909395077261,6.76109247015793,-6.64153378051267,6.39062752322088e-07,0.000125388169546878
"ENSG00000152137",3.72692606409234,3.42675766244704,6.58638370314885,7.22319199592114e-07,0.000139509181658721
"ENSG00000237036",-4.75684631534896,1.56403988849681,-6.55231084940752,7.79851849527583e-07,0.000148303826338622
"ENSG00000128510",-2.77942094719787,1.85462908909048,-6.52854459707354,8.21490147926564e-07,0.000153855147250307
"ENSG00000006453",1.46504349762225,5.86935347928075,6.46305965103125,9.50887802128411e-07,0.000175431703315064
"ENSG00000213412",2.51992889651969,0.859187370706223,6.33600777088717,1.26487500404734e-06,0.000229345640925155
"ENSG00000164976",1.90221212758671,3.00005703304372,6.33065623171293,1.28022402911056e-06,0.000229345640925155
"ENSG00000149591",2.44617194183592,1.29536502805337,6.28808958866887,1.40931598748684e-06,0.00024886507030464
"ENSG00000164855",2.58384374759903,1.9378085795216,6.26481277488114,1.48547132770965e-06,0.000258618465941113
"ENSG00000154734",1.61290711975925,4.3903729844369,6.16457668170637,1.86470879860008e-06,0.000320134242492995
"ENSG00000049192",1.54268023765048,5.13969734732013,6.14426265498751,1.95293086051731e-06,0.000330687374888418
"ENSG00000090530",-1.48609060479222,6.79477328567362,-6.09038916903125,2.20816345565089e-06,0.000368852817233792
"ENSG00000197147",1.66130062354739,4.52451194137962,6.02043691809059,2.59129106225475e-06,0.000427079317607079
"ENSG00000131941",1.65613587767968,4.78404112597884,5.88967511411983,3.49990853151735e-06,0.000569241702080079
"ENSG00000115008",1.25050584535435,6.85503615897656,5.83705441711475,3.95205215014277e-06,0.000634432683479413
"ENSG00000160712",2.346018069599,4.95380834897951,5.7548058587533,4.78146127029574e-06,0.000757739009770842
"ENSG00000179148",2.65441249271829,1.37956901891196,5.73988154522145,4.95003480580847e-06,0.000774523800437955
"ENSG00000162645",-1.64315747215264,3.9426992250579,-5.67478241000272,5.75916859086055e-06,0.000889863536895341
"ENSG00000131242",4.07781449664703,1.70606174931706,5.54627612948816,7.77887944148022e-06,0.00118709541698935
"ENSG00000154914",2.36927861046117,1.53957202160375,5.42279686490796,1.03900645198201e-05,0.00156623887231093
"ENSG00000154556",-2.40740991362255,4.03397113499542,-5.37794339276343,1.15480163964115e-05,0.00170556001565482
"ENSG00000109321",1.24880741930435,5.04083082978435,5.37639503395531,1.15902468501743e-05,0.00170556001565482
