"genes"	"epiMes_tumor"	"epiMes_cellLine"
"SLC2A3"	"mes"	NA
"SLC35A3"	"epi"	NA
"SLC44A4"	"epi"	NA
"SLIT2"	"mes"	NA
"SNAI2"	"mes"	NA
"SOBP"	"mes"	"mes"
"SORD"	"epi"	NA
"SPAG1"	"epi"	NA
"SPARC"	"mes"	"mes"
"SPARCL1"	"mes"	NA
"SPDEF"	"epi"	NA
"SPINT1"	"epi"	"epi"
"SPINT2"	"epi"	"epi"
"SPOCK1"	"mes"	NA
"SRGN"	"mes"	NA
"SRPX"	"mes"	"mes"
"ST14"	"epi"	"epi"
"STAP2"	"epi"	"epi"
"STON1"	"mes"	NA
"STYK1"	"epi"	NA
"SYNE1"	"mes"	NA
"SYNGR2"	"epi"	"epi"
"SYNM"	"mes"	NA
"SYT11"	"mes"	NA
"TACSTD2"	"epi"	"epi"
"TAGLN"	"mes"	NA
"TCF4"	"mes"	NA
"TFF1"	"epi"	NA
"TFF3"	"epi"	NA
"TJP2"	"epi"	"epi"
"TJP3"	"epi"	NA
"TMC5"	"epi"	NA
"TMEM30B"	"epi"	"epi"
"TMPRSS2"	"epi"	"epi"
"TMPRSS4"	"epi"	"epi"
"TNC"	"mes"	NA
"TNS1"	"mes"	NA
"TOB1"	"epi"	"epi"
"TOM1L1"	"epi"	NA
"TOX3"	"epi"	"epi"
"TPD52"	"epi"	NA
"TPM2"	"mes"	"mes"
"TRPC1"	"mes"	"mes"
"TRPM4"	"epi"	NA
"TSPAN1"	"epi"	"epi"
"TSPAN8"	"epi"	NA
"TTC39A"	"epi"	"epi"
"TUBA1A"	"mes"	"mes"
"TUBB6"	"mes"	"mes"
"TUFT1"	"epi"	NA
"TWIST1"	"mes"	NA
"UCHL1"	"mes"	NA
"VAMP8"	"epi"	"epi"
"VAV3"	"epi"	NA
"VCAM1"	"mes"	NA
"VCAN"	"mes"	NA
"VIM"	"mes"	"mes"
"VSIG4"	"mes"	NA
"WIPF1"	"mes"	NA
"WWTR1"	"mes"	NA
"ZCCHC24"	"mes"	NA
"ZEB1"	"mes"	"mes"
"ZEB2"	"mes"	NA
"ZFPM2"	"mes"	NA
"ADAP1"	NA	"epi"
"AIM1"	NA	"epi"
"ALDH3B2"	NA	"epi"
"ALOX5"	NA	"epi"
"ANK3"	NA	"epi"
"ANXA4"	NA	"epi"
