	Epithelial Score	Mesenchymal Score
TCGA-A2-A0CM-01A-31R-A034-07	0.1483021782561874	0.19549718219647538
TCGA-A2-A0CO-01A-13R-A22K-07	0.24249374125480727	0.25829495195860785
TCGA-A2-A0CP-01A-11R-A034-07	0.2119170070621843	0.2314305210371177
TCGA-A2-A0CQ-01A-21R-A034-07	0.25718327578140376	0.09271783104884967
TCGA-A2-A0CR-01A-11R-A22K-07	0.20120882944631557	0.22446834402504512
TCGA-A2-A0CS-01A-11R-A115-07	0.2567614648091924	0.15184780712169144
TCGA-A2-A0CT-01A-31R-A056-07	0.23962229890020714	0.12009421943712095
TCGA-A2-A0CU-01A-12R-A034-07	0.24916973612704552	0.15183187790962804
TCGA-A2-A0CV-01A-31R-A115-07	0.2535902803631137	0.21669933389962293
TCGA-A2-A0CW-01A-21R-A115-07	0.28323781407215265	0.06440680540392962
TCGA-A2-A0CX-01A-21R-A00Z-07	0.24111927172228764	0.19767096397293815
TCGA-A2-A0CY-01A-12R-A034-07	0.29386171637534486	0.05280441187311602
TCGA-A2-A0CZ-01A-11R-A034-07	0.19026780869851545	0.27210224479642653
TCGA-A2-A0D0-01A-11R-A00Z-07	0.14778696938590663	0.09963073863756344
TCGA-A2-A0D1-01A-11R-A034-07	0.21174758761917456	0.08737265428460605
TCGA-A2-A0D2-01A-21R-A034-07	0.1454298670839308	0.1752585625997659
TCGA-A2-A0D3-01A-11R-A115-07	0.2759592941551595	0.0976184716624875
TCGA-A2-A0D4-01A-11R-A00Z-07	0.27799710596838634	0.0866999229100226
TCGA-A2-A0EM-01A-11R-A034-07	0.2305474984784831	0.17364156235193706
TCGA-A2-A0EN-01A-13R-A084-07	0.21432667283237594	0.261363733184957
TCGA-A2-A0EO-01A-11R-A034-07	0.23747675369757937	0.2522370355662261
TCGA-A2-A0EP-01A-52R-A22U-07	0.15968542719112555	0.3096699948841297
TCGA-A2-A0EQ-01A-11R-A034-07	0.18831296897148064	0.1651131363025632
TCGA-A2-A0ER-01A-21R-A034-07	0.2691503701814829	0.10256060231684838
TCGA-A2-A0ES-01A-11R-A115-07	0.2383829305132671	0.24984839465030384
TCGA-A2-A0ET-01A-31R-A034-07	0.2109530538723421	0.0448212835018188
TCGA-A2-A0EU-01A-22R-A056-07	0.2600938149305445	0.13020926909736563
TCGA-A2-A0EV-01A-11R-A034-07	0.2517614191962655	0.19651850400249238
TCGA-A2-A0EW-01A-21R-A115-07	0.21726718619066454	0.2704504225501335
TCGA-A2-A0EX-01A-21R-A034-07	0.24141684176962508	0.2361707581897451
TCGA-A2-A0EY-01A-11R-A034-07	0.2643036708849211	0.15705814125358453
TCGA-A2-A0ST-01A-12R-A084-07	0.15405635759492164	0.21143121006815113
TCGA-A2-A0SU-01A-11R-A084-07	0.2547679626964451	0.18143094705092866
TCGA-A2-A0SV-01A-11R-A084-07	0.24486474463928642	0.1853662033241672
TCGA-A2-A0SW-01A-11R-A084-07	0.2773155185168935	0.17977134542200002
TCGA-A2-A0SX-01A-12R-A084-07	0.1639395928459817	0.2439719971860862
TCGA-A2-A0SY-01A-31R-A084-07	0.21995530801975172	0.24109658918525045
TCGA-A2-A0T0-01A-22R-A084-07	0.20269233559472088	0.16137755085030503
TCGA-A2-A0T1-01A-21R-A084-07	0.23856190695049784	0.23390843962995322
TCGA-A2-A0T2-01A-11R-A084-07	0.20664762797575476	0.12608656674728824
TCGA-A2-A0T3-01A-21R-A115-07	0.27421601152747266	0.12386610867501191
TCGA-A2-A0T4-01A-31R-A084-07	0.24151936225308746	0.24079208192208534
TCGA-A2-A0T5-01A-21R-A084-07	0.26153431460495513	0.16197174750494825
TCGA-A2-A0T6-01A-11R-A084-07	0.20120405094920502	0.28206281814433576
TCGA-A2-A0T7-01A-21R-A084-07	0.2465663240194632	0.20879881516297993
TCGA-A2-A0YC-01A-11R-A109-07	0.24103369318312629	0.16006468741884894
TCGA-A2-A0YD-01A-11R-A109-07	0.23659360054978773	0.25915068404852404
TCGA-A2-A0YE-01A-11R-A109-07	0.16338702481647316	0.15936157940730733
TCGA-A2-A0YF-01A-21R-A109-07	0.30055421878305577	0.1269515600070088
TCGA-A2-A0YG-01A-21R-A109-07	0.27541802075518496	0.11112236857751767
